City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
383,lerwick,60.1545,-1.1494,15.0,82,100,3.03,GB,1689158715
384,port moresby,-9.4431,147.1797,25.680000000000007,78,40,7.72,PG,1689158535
385,fort bragg,35.139,-79.006,24.0,85,75,2.06,US,1689158717
386,magadan,59.5667,150.8,10.450000000000045,91,12,3.1,RU,1689158718
387,cascais,38.6979,-9.4215,26.950000000000045,70,40,6.69,PT,1689158719
388,ust-nera,64.5667,143.2,22.24000000000001,53,51,2.35,RU,1689158721
389,ghat,24.9647,10.1728,35.56,13,0,7.28,LY,1689158721
390,peruibe,-24.32,-46.9983,19.720000000000027,93,37,1.2,BR,1689158716
391,umba,66.6871,34.3429,16.420000000000016,59,85,3.53,RU,1689158724
392,sitka,57.0531,-135.33,10.939999999999998,82,100,1.54,US,1689158726
393,byalynichy,53.9983,29.7126,20.05000000000001,42,55,2.85,BY,1689158727
394,uacu cungo,-11.3634,15.1208,24.629999999999995,12,0,2.58,AO,1689158728
395,pelagiada,45.2064,42.0236,23.75,49,40,8.0,RU,1689158729
396,vorkuta,67.5,64.0,15.75,49,11,3.77,RU,1689158730
397,scarborough,54.2797,-0.4044,18.850000000000023,72,54,1.79,GB,1689158731
398,sainte-menehould,49.0833,4.9,24.74000000000001,50,98,4.98,FR,1689158732
399,tangalle,6.024,80.7911,32.09000000000003,69,65,7.4,LK,1689158733
400,areal,-22.2306,-43.1056,19.74000000000001,78,0,0.74,BR,1689158734
401,manhattan,40.7834,-73.9662,25.379999999999995,68,0,2.06,US,1689158640
402,kolonia town,6.964,158.206,28.0,83,75,2.06,FM,1689158736
403,hovd,48.0056,91.6419,20.220000000000027,44,65,1.75,MN,1689158738
404,jayapura,-2.5333,140.7,28.660000000000025,90,63,4.49,ID,1689158739
405,kargasok,59.0556,80.8572,23.590000000000032,38,44,0.52,RU,1689158740
406,benin city,6.335,5.6275,26.590000000000032,81,100,2.12,NG,1689158740
407,gouyave,12.1646,-61.7296,27.430000000000007,83,20,6.69,GD,1689158742
408,paciran,-6.8767,112.3761,26.590000000000032,70,58,3.33,ID,1689158743
409,lashio,22.9333,97.75,22.660000000000025,96,100,0.22,MM,1689158744
410,taltal,-25.4,-70.4833,14.910000000000025,61,0,1.22,CL,1689158745
411,apsheronsk,44.46,39.73,26.410000000000025,35,65,6.11,RU,1689158746
412,kargopol',61.5071,38.9456,9.370000000000005,98,100,4.41,RU,1689158747
413,amursk,50.2261,136.8994,20.120000000000005,47,100,1.77,RU,1689158474
414,kimbe,-5.5502,150.1429,25.360000000000014,83,100,3.71,PG,1689158749
415,kuruman,-27.4524,23.4325,16.660000000000025,25,0,5.36,ZA,1689158749
416,sweet home,44.3976,-122.7362,13.620000000000005,86,63,1.09,US,1689158750
417,klaksvik,62.2266,-6.589,10.510000000000048,98,100,7.74,FO,1689158751
